Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
1,1,572,213,95.000000,1,1,1,572.000,213.000,0.000
1,1,607,175,107.333336,1,1,1,607.000,175.000,0.000
1,1,558,194,102.000000,1,1,1,558.000,194.000,0.000
1,1,601,170,131.000000,1,1,1,601.000,170.000,0.000
1,1,612,214,122.333336,1,1,1,612.000,214.000,0.000
1,1,604,240,104.000000,1,1,1,604.000,240.000,0.000
1,1,589,199,87.000000,1,1,1,589.000,199.000,0.000
1,1,632,180,75.666664,1,1,1,632.000,180.000,0.000
1,1,636,225,122.333336,1,1,1,636.000,225.000,0.000
1,1,595,231,93.333336,1,1,1,595.000,231.000,0.000
1,1,622,195,108.666664,1,1,1,622.000,195.000,0.000
1,1,632,222,156.666672,1,1,1,632.000,222.000,0.000
1,1,584,212,91.000000,1,1,1,584.000,212.000,0.000
1,1,615,192,114.333336,1,1,1,615.000,192.000,0.000
1,1,555,182,83.666664,1,1,1,555.000,182.000,0.000
1,1,626,169,87.333336,1,1,1,626.000,169.000,0.000
1,1,608,218,111.000000,1,1,1,608.000,218.000,0.000
1,1,592,213,99.000000,1,1,1,592.000,213.000,0.000
1,1,587,162,88.666664,1,1,1,587.000,162.000,0.000
1,1,629,205,129.000000,1,1,1,629.000,205.000,0.000
1,1,616,218,84.333336,1,1,1,616.000,218.000,0.000
1,1,608,195,112.333336,1,1,1,608.000,195.000,0.000
1,1,601,185,110.333336,1,1,1,601.000,185.000,0.000
1,1,589,200,108.333336,1,1,1,589.000,200.000,0.000
1,1,617,185,104.000000,1,1,1,617.000,185.000,0.000
1,1,589,170,83.000000,1,1,1,589.000,170.000,0.000
1,1,576,203,85.000000,1,1,1,576.000,203.000,0.000
1,1,602,218,109.666664,1,1,1,602.000,218.000,0.000
1,1,607,183,127.000000,1,1,1,607.000,183.000,0.000
1,1,576,185,85.333336,1,1,1,576.000,185.000,0.000
1,1,598,206,102.333336,1,1,1,598.000,206.000,0.000
1,1,631,154,234.666672,1,1,1,631.000,154.000,0.000
1,1,582,171,78.000000,1,1,1,582.000,171.000,0.000
1,1,593,184,86.000000,1,1,1,593.000,184.000,0.000
1,1,607,183,127.000000,1,1,1,607.000,183.000,0.000
1,1,588,173,93.666664,1,1,1,588.000,173.000,0.000
1,1,615,166,89.333336,1,1,1,615.000,166.000,0.000
1,1,594,209,92.333336,1,1,1,594.000,209.000,0.000
1,1,583,173,77.000000,1,1,1,583.000,173.000,0.000
1,1,623,172,75.666664,1,1,1,623.000,172.000,0.000
1,1,629,185,94.333336,1,1,1,629.000,185.000,0.000
1,1,624,223,240.000000,1,1,1,624.000,223.000,0.000
1,1,583,176,69.333336,1,1,1,583.000,176.000,0.000
1,1,602,181,121.000000,1,1,1,602.000,181.000,0.000
1,1,601,189,107.333336,1,1,1,601.000,189.000,0.000
1,1,622,208,98.000000,1,1,1,622.000,208.000,0.000
1,1,622,200,101.666664,1,1,1,622.000,200.000,0.000
1,1,619,198,99.000000,1,1,1,619.000,198.000,0.000
1,1,609,205,131.333328,1,1,1,609.000,205.000,0.000
1,1,588,171,85.666664,1,1,1,588.000,171.000,0.000
1,1,633,185,101.666664,1,1,1,633.000,185.000,0.000
1,1,637,183,79.333336,1,1,1,637.000,183.000,0.000
1,1,613,217,103.333336,1,1,1,613.000,217.000,0.000
1,1,605,212,109.666664,1,1,1,605.000,212.000,0.000
1,1,594,197,115.000000,1,1,1,594.000,197.000,0.000
1,1,616,174,79.333336,1,1,1,616.000,174.000,0.000
1,1,622,173,75.666664,1,1,1,622.000,173.000,0.000
